SpGnss : begin inSpGnss : begin outSpGnss : start in  mode = COLD_STARTSpGnss : start outGnss setup OK
2022/02/28 04:53:28.000646, numSat: 3, No-Fix, No Position
2022/02/28 04:53:29.000670, numSat: 3, No-Fix, No Position
2022/02/28 04:53:30.000664, numSat: 3, No-Fix, No Position
2022/02/28 04:53:31.000653, numSat: 3, No-Fix, No Position
2022/02/28 04:53:32.000647, numSat: 3, No-Fix, No Position
2022/02/28 04:53:33.000672, numSat: 3, No-Fix, No Position
2022/02/28 04:53:34.000664, numSat: 3, No-Fix, No Position
2022/02/28 04:53:35.000658, numSat: 3, No-Fix, No Position
2022/02/28 04:53:36.000651, numSat: 3, No-Fix, No Position
2022/02/28 04:53:37.000646, numSat: 4, No-Fix, No Position
2022/02/28 04:53:38.000669, numSat: 4, No-Fix, No Position
2022/02/28 04:53:39.000662, numSat: 4, No-Fix, No Position
2022/02/28 04:53:40.000656, numSat: 4, No-Fix, No Position
2022/02/28 04:53:41.000649, numSat: 4, No-Fix, No Position
2022/02/28 04:53:42.000643, numSat: 4, No-Fix, No Position
2022/02/28 04:53:43.000667, numSat: 4, No-Fix, No Position
2022/02/28 04:53:44.000660, numSat: 4, No-Fix, No Position
2022/02/28 04:53:45.000654, numSat: 4, No-Fix, No Position
2022/02/28 04:53:46.000647, numSat: 4, No-Fix, No Position
2022/02/28 04:53:47.000641, numSat: 4, No-Fix, No Position
2022/02/28 04:53:48.000665, numSat: 4, No-Fix, No Position
2022/02/28 04:53:49.000658, numSat: 4, No-Fix, No Position
2022/02/28 04:53:50.000652, numSat: 4, No-Fix, No Position
2022/02/28 04:53:51.000649, numSat: 4, No-Fix, No Position
2022/02/28 04:53:52.000673, numSat: 4, No-Fix, No Position
2022/02/28 04:53:53.000668, numSat: 4, No-Fix, No Position
2022/02/28 04:53:54.000656, numSat: 4, No-Fix, No Position
2022/02/28 04:53:55.000650, numSat: 4, No-Fix, No Position
2022/02/28 04:53:56.000643, numSat: 4, No-Fix, No Position
2022/02/28 04:53:57.000667, numSat: 4, No-Fix, No Position
2022/02/28 04:53:58.000661, numSat: 4, No-Fix, No Position
2022/02/28 04:53:59.000654, numSat: 6, No-Fix, No Position
numSatellites: 6[ 0] Type:GPS, Id: 4, Elv: 0, Azm:  0, CN0:23.500000
[ 1] Type:GPS, Id: 8, Elv: 0, Azm:  0, CN0:23.330000
[ 2] Type:GPS, Id:14, Elv: 0, Azm:  0, CN0:0.000000
[ 3] Type:GPS, Id:16, Elv: 0, Azm:  0, CN0:18.840000
[ 4] Type:GPS, Id:26, Elv: 0, Azm:  0, CN0:8.730000
[ 5] Type:GPS, Id:27, Elv: 0, Azm:  0, CN0:21.510000
2022/02/28 04:54:00.000649, numSat: 6, No-Fix, No Position
2022/02/28 04:54:01.000641, numSat: 4, No-Fix, No Position
2022/02/28 04:54:02.000665, numSat: 4, No-Fix, No Position
2022/02/28 04:54:03.000660, numSat: 5, No-Fix, No Position
2022/02/28 04:54:04.000653, numSat: 5, No-Fix, No Position
2022/02/28 04:54:05.000648, numSat: 4, No-Fix, No Position
